easting_km,northing_km,structure_class,internal_type,name
360.0567,6126.7289,Salzstock,Salzdiapir,Delia
342.4613,6123.8627,Salzstock,Salzdiapir,Dorthe
331.5787,6104.4808,Salzstock,Salzdiapir,Dorothea
346.1189,6101.9503,Salzstock,Salzdiapir,Daniela
532.3702,6068.2323,Salzstock,Salzdiapir,Maasbuell
547.8070,6062.0294,Salzstock,Doppelsalinar,Sterup
533.4302,6058.8440,Salzstock,Salzdiapir,Bistoft
341.2500,6049.1828,Salzstock,Salzdiapir,Heike
536.1113,6047.9988,Salzstock,Salzdiapir,Langsee
368.5416,6004.2938,Salzstock,Salzkissen,Helga
405.4379,6002.7346,Salzstock,Doppelsalinar,Josephine
386.2237,5999.7282,Salzstock,Salzdiapir,Jette
488.7227,5991.6493,Salzstock,Doppelsalinar,Buesum
394.8722,5994.3908,Salzstock,Doppelsalinar,Johanna
801.8787,5993.2396,Salzstock,tektonische Strukturen,Moeckow
410.8991,5988.4000,Salzstock,Doppelsalinar,Justine
393.3827,5979.9129,Salzstock,Doppelsalinar,Marga
403.7853,5973.2235,Salzstock,Doppelsalinar,Mira
422.3640,5969.8270,Salzstock,Doppelsalinar,Harle Riff
389.9053,5968.9858,Salzstock,Salzdiapir,Meta
495.6033,5968.3729,Salzstock,Doppelsalinar,Neufelder Sand
571.2248,5964.9986,Salzstock,Doppelsalinar,Sievershuetten
385.1261,5963.7674,Salzstock,Salzdiapir,Monika
391.6261,5959.9127,Salzstock,Doppelsalinar,Wichter Ee
433.0029,5960.4861,Salzstock,Doppelsalinar,Wangerooge
411.6502,5959.8368,Salzstock,Doppelsalinar,Spiekeroog
401.6466,5956.6448,Salzstock,Doppelsalinar,Langeoog
546.4918,5954.2293,Salzstock,Doppelsalinar,Elmshorn
751.2807,5954.5566,Salzstock,Salzdiapir,Gielow
390.3100,5943.7171,Salzstock,Salzdiapir,Westdorf
403.3137,5939.3996,Salzstock,Salzdiapir,Barkholt
424.6768,5939.2152,Salzstock,Salzdiapir,Berdum-Jever
532.0041,5938.4635,Salzstock,Doppelsalinar,Stade
384.0909,5937.4057,Salzstock,Salzdiapir,Suederneuland
439.1225,5935.8481,Salzstock,Salzdiapir,Ruestringen
468.5551,5930.4100,Salzstock,Doppelsalinar,Dedesdorf
419.2586,5934.8638,Salzstock,Salzdiapir,Wittmund
481.6909,5932.5270,Salzstock,Doppelsalinar,Bramel
445.0305,5927.3514,Salzstock,Salzdiapir,Arngast
458.1167,5924.1817,Salzstock,Salzdiapir,Seefeld
408.0596,5926.8176,Salzstock,Salzdiapir,Brockzetel
427.1878,5923.4276,Salzstock,Salzdiapir,Etzel
532.1158,5922.8021,Salzstock,Doppelsalinar,Harsefeld
578.3518,5924.2846,Salzstock,Doppelsalinar,Reitbrook
656.5771,5921.5242,Salzstock,Salzdiapir,Kraak
378.1298,5922.3386,Salzstock,Salzdiapir,Uttum
569.0110,5919.1145,Salzstock,Doppelsalinar,Meckelfeld
559.2048,5919.7636,Salzstock,Salzdiapir,Sottorf
608.4573,5918.4877,Salzstock,Salzdiapir,Nostorf
382.5971,5917.2742,Salzstock,Salzdiapir,Emden
373.0712,5913.7131,Salzstock,Salzdiapir,Wybelsum
400.1934,5916.4729,Salzstock,Salzdiapir,Timmel
546.2322,5916.0808,Salzstock,Salzdiapir,Moisburg
410.9721,5914.8149,Salzstock,Salzdiapir,Strackholt
488.6573,5913.0307,Salzstock,Salzdiapir,Oldendorf II
661.2542,5912.8134,Salzstock,Salzdiapir,Ludwigslust
761.9957,5910.2158,Salzstock,Salzdiapir,Wesenberg
730.7081,5909.8123,Salzstock,Salzdiapir,Wredenhagen
506.2296,5902.8433,Salzstock,Salzdiapir,Breddorf
577.6225,5904.9775,Salzstock,Salzdiapir,Bahlburg
445.5267,5907.0193,Salzstock,Salzdiapir,Jaderberg
641.3237,5905.5244,Salzstock,Salzdiapir,Luebtheen
678.2069,5903.5721,Salzstock,Salzdiapir,Werle
554.5180,5907.1922,Salzstock,Salzdiapir,Sproetze
494.7169,5903.2403,Salzstock,Salzdiapir,Teufelsmoor
470.2337,5903.3796,Salzstock,Salzdiapir,Aschwarden
528.7126,5901.2751,Salzstock,Salzdiapir,Volkensen
563.2950,5900.0754,Salzstock,Salzdiapir,Toeps
593.2213,5901.0172,Salzstock,Salzdiapir,Lueneburg
748.6050,5897.4135,Salzstock,Salzdiapir,Zechlin
516.8065,5899.7668,Salzstock,Salzdiapir,Bruemmerhof
656.1931,5899.1462,Salzstock,Salzdiapir,Conow
499.1703,5897.7063,Salzstock,Salzdiapir,Adolphsdorf
606.5096,5896.6770,Salzstock,Salzdiapir kompressiv ueberpraegt,Horndorf
703.1958,5893.7136,Salzstock,Salzdiapir,Helle
637.3623,5894.3754,Salzstock,Salzdiapir,Kaarssen
460.2429,5893.3442,Salzstock,Salzdiapir kompressiv ueberpraegt,Neuenhuntorf
574.2599,5891.8729,Salzstock,Salzdiapir kompressiv ueberpraegt,Egestorf-Soderstorf
494.0243,5888.5229,Salzstock,Salzdiapir kompressiv ueberpraegt,Lilienthal
481.5409,5890.8577,Salzstock,Salzdiapir kompressiv ueberpraegt,Lesum
647.8699,5891.5550,Salzstock,Salzdiapir,Doemitz
592.2276,5889.3487,Salzstock,Salzdiapir,Kolkhagen
615.4637,5878.3150,Salzstock,Salzdiapir kompressiv ueberpraegt,Rosche-Thondorf
442.4988,5890.2362,Salzstock,Salzdiapir kompressiv ueberpraegt,Oldenburg Nordwest
636.7315,5886.7203,Salzstock,Salzdiapir,Dannenberg
766.6319,5889.0160,Salzstock,Salzdiapir,Dollgow
796.5170,5888.1188,Salzstock,Salzdiapir,Storkow
563.5978,5885.6917,Salzstock,Salzdiapir kompressiv ueberpraegt,Volkwardingen
755.8398,5883.8109,Salzstock,Salzdiapir,Zuehlen
453.0311,5884.5794,Salzstock,Salzdiapir kompressiv ueberpraegt,Oldenburg Sued
626.5517,5874.4585,Salzstock,Salzdiapir,Guelden-Braudel
541.2348,5879.9090,Salzstock,Salzdiapir kompressiv ueberpraegt,Soehlingen
745.3631,5877.8016,Salzstock,Salzdiapir,Netzeband
463.2518,5881.1279,Salzstock,Salzdiapir kompressiv ueberpraegt,Hasbruch
646.2045,5879.8551,Salzstock,Salzdiapir,Gr. Heide-Siemen
471.2719,5880.0448,Salzstock,Salzdiapir kompressiv ueberpraegt,Gruppen-Buehren
785.0358,5878.5115,Salzstock,Salzdiapir,Kleinmutz
441.5404,5875.3033,Salzstock,Salzdiapir kompressiv ueberpraegt,Sagermeer
673.6780,5874.8691,Salzstock,Salzdiapir,Aulosen
520.3794,5873.9768,Salzstock,Salzdiapir kompressiv ueberpraegt,Wedehof
