basin,subset,N,median_NND_km,clark_evans_R,p_dispersion,verdict
Gulf of Mexico,Whole basin (all pooled),1253,11.1,0.652,1.000,clustered
Gulf of Mexico,N. Gulf shelf/slope + coast,571,11.6,1.103,0.002,regular
Gulf of Mexico,Texas-Louisiana shelf core,271,12.0,1.117,0.002,regular
Gulf of Mexico,Bay of Campeche,366,9.2,1.020,0.240,random
Gulf of Mexico,Onshore interior basins,146,13.5,0.817,1.000,clustered
North German Basin,All structures,693,10.1,1.216,0.002,regular
North German Basin,All halokinetic,571,11.1,1.210,0.002,regular
North German Basin,Central basin halokinetic,302,10.3,1.409,0.002,regular
North German Basin,Glueckstadt Graben halokinetic,109,11.0,1.466,0.002,regular
North German Basin,Salt diapirs only (mature),159,11.1,0.876,1.000,clustered
North German Basin,Salt pillows only,205,15.0,1.112,0.004,regular
